bankCode;branchCode;bic;bankName;postalCode;city;flags
13335;;;Caisse d'épargne et de prévoyance Aquitaine Poitou-Charentes;33076;BORDEAUX CEDEX;
13338;;KBLXMCMCXXX;BANQUE RICHELIEU MONACO;98000;MONACO;
13368;;SGBTMCMCXXX;Société générale private banking (Monaco);98000;MONACO;
13485;;;Caisse d'épargne et de prévoyance du Languedoc Roussillon;34184;MONTPELLIER CEDEX 4;
13506;;AGRIFRPP835;Caisse régionale de crédit agricole mutuel du Languedoc;34977;LATTES CEDEX;
13507;;;Banque populaire du Nord;59700;MARCQ EN BAROEUL;
13528;;UNCRFRPPXXX;Unicredit SpA;75008;PARIS 08;
19973;;;Mirabaud & Cie (Europe) SA;75008;PARIS;
16688;;AGFOFR21XXX;AGENCE FRANCE LOCALE;69003;LYON;
16773;;;Lombard Odier (Europe) S.A;75008;PARIS;
16668;;ANZBFRPPXXX;Australia and New Zealand banking group limited;75008;PARIS;
18233;;;CHINA CONSTRUCTION BANK (EUROPE) S.A;75008;PARIS;
11689;;CITIFRPPSEC;CITIBANK EUROPE PUBLIC LIMITED COMPANY;75008;PARIS;
