bankCode,bic,bankName,postalCode,city,flags
30270,VONTCHZZXXX,Bank Vontobel AG,8022,Zürich,
30272,REICCH22XXX,Reichmuth & Co.,6000,Luzern 7,
30273,BORDCHGGXXX,Bordier & Cie SCmA,1211,Genève 11,
30275,MIRACHGGXXX,Mirabaud & Cie SA,1211,Genève 11,
30277,PIGUCH22XXX,Piguet Galland & Cie SA,1401,Yverdon-les-Bains,
30283,HBZUCHZZXXX,Habib Bank AG Zürich,8042,Zürich,
30285,TMBECH22XXX,IBKR Financial Services AG,6300,Zug,
30286,INCOCHZZXXX,InCore Bank AG,8952,Schlieren,
30288,HYIBLI22XXX,BENDURA BANK AG,9487,Gamprin-Bendern,
30289,SERBLI22XXX,Kaiser Partner Privatbank AG,9490,Vaduz,
30290,BFRILI22XXX,Bank Frick AG,9496,Balzers,
30291,VOAGLI22XXX,SIGMA Bank AG,9494,Schaan,
30295,DOMICHZZXXX,Tellco Bank AG,6430,Schwyz,
30296,CIMMCHGGXXX,CIM Banque SA,1211,Genève 6,
30297,TXBZCHZZXXX,TradeXBank AG,8002,Zürich,
30299,ABSGCHGGXXX,S.P. Hinduja Banque Privée SA,1211,Genève 1,
00303,UBSWCHZHW03,UBS Switzerland AG,8098,Zürich,
30308,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
30311,CAGLCHGGXXX,"ABANCA CORPORACION BANCARIA S.A., BETANZOS",1211,Genève 1,
30313,BLEMCHGGXXX,Banque du Léman SA,1201,Genève,
30314,QVCHCHZHXXX,Quilvest (Switzerland) Ltd.,8001,Zürich,
30315,ITAUCHZZXXX,Banco Itaú (Suisse) SA,8002,Zürich,
30316,GLBNCHZZXXX,Globalance Bank AG,8002,Zürich,
30317,DUBACHGGXXX,Dukascopy Bank SA,1215,Genève 15,
30318,SFBFCH22XXX,Helvetische Bank AG,8008,Zürich,
30319,AQULCHZZXXX,Aquila AG,8001,Zürich,
30321,SYGNCHZZXXX,Sygnum Bank AG,8045,Zürich,
30322,SCRYCH22XXX,AMINA Bank AG,6300,Zug,
30324,RMCOCHBBXXX,Remaco Asset Management AG,4020,Basel,
30325,LFFSCHGGXXX,LF Finance (Suisse) SA,1211,Genève 3,
30326,SSBECHZZXXX,"State Street Bank International GmbH, München, ZN Zürich",8045,Zürich,
30327,ZAPRCH22XXX,Zähringer Privatbank AG,3011,Bern,
30328,BISBCHBBXXX,BIZ Bank für Internationalen Zahlungsausgleich,4002,Basel,
30329,ICBKCHZZXXX,Industrial and Commercial Bank of China Limited,8001,Zürich,
30330,JLSECHGGXXX,JL Securities SA,1204,Genève,
30331,FIDHCHGGXXX,Fidurhône SA,1207,Genéve,
30333,PRBECHZZXXX,Privatbank Bellerive AG,8034,Zürich,
00304,UBSWCHZHW04,UBS Switzerland AG,8098,Zürich,
00305,UBSWCHZHW05,UBS Switzerland AG,8098,Zürich,
30520,CITIGB2LXXX,Citibank N.A.,E14 5LB,London,
00306,UBSWCHZHW06,UBS Switzerland AG,8098,Zürich,
30700,ZKBKCHZZ80A,Zürcher Kantonalbank,8010,Zürich,
30761,KBAGCH22XXX,Aargauische Kantonalbank,5001,Aarau,
30763,AIKACH22XXX,Appenzeller Kantonalbank,9050,Appenzell,
30764,BSCTCH22XXX,Banca dello Stato del Cantone Ticino,6501,Bellinzona,
30765,BCVSCH2LXXX,Banque Cantonale du Valais,1951,Sion/Sitten,
30766,BCNNCH22XXX,Banque Cantonale Neuchâteloise,2001,Neuchâtel,
30767,BCVLCH2LXXX,Banque Cantonale Vaudoise,1001,Lausanne,
30768,BEFRCH22XXX,Banque Cantonale de Fribourg,1701,Fribourg,
30769,BLKBCH22XXX,Basellandschaftliche Kantonalbank,4410,Liestal,
30770,BKBBCHBBXXX,Basler Kantonalbank,4051,Basel,
30773,GLKBCH22XXX,Glarner Kantonalbank,8750,Glarus,
30774,GRKBCH2270A,Graubündner Kantonalbank,7001,Chur,
30777,KBSZCH22XXX,Schwyzer Kantonalbank,6431,Schwyz,
30778,LUKBCH2260A,Luzerner Kantonalbank AG,6002,Luzern,
30779,NIKACH22XXX,Nidwaldner Kantonalbank,6371,Stans,
30780,OBWKCH22XXX,Obwaldner Kantonalbank,6060,Sarnen,
30781,KBSGCH22XXX,St. Galler Kantonalbank AG,9001,St. Gallen,
30782,SHKBCH2SXXX,Schaffhauser Kantonalbank,8201,Schaffhausen,
30784,KBTGCH22XXX,Thurgauer Kantonalbank,8570,Weinfelden,
30785,URKNCH22XXX,Urner Kantonalbank,6460,Altdorf UR,
30787,KBZGCH22XXX,Zuger Kantonalbank,6301,Zug,
30788,BCGECHGGXXX,Banque Cantonale de Genève,1211,Genève 2,
30789,BCJUCH22XXX,Banque Cantonale du Jura SA,2900,Porrentruy 2,
30790,KBBECH22XXX,Berner Kantonalbank AG,3001,Bern,
00308,UBSWCHZHW08,UBS Switzerland AG,8098,Zürich,
30808,RAIFCH22XXX,Raiffeisen,9001,St. Gallen,
